N,phi,seed,forcing,rung,truth_gap,n_near,sd_check,acc,prmse_lin,prmse_fluct,err_mean_pct,prmse_ang,rel_rmse,max_rel_lin
200,0.1,4423,gravity,pnear+full_far,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,0.1583907642402768,1.0851707197774525,0.08594195724168574,1.0278776454256342,0.160943392529508,0.6908963094848207
200,0.1,4423,random,rpy,0.00029397463245477986,3770,1.3510507800027611e-14,fine,8.357995746071959,22.38719196269938,3.344137897430223,9.652025517991316,8.440685788259819,30.443296898139593
200,0.1,4423,random,2b,0.00029397463245477986,3770,1.3510507800027611e-14,fine,6.598038455213725,17.511041039357558,2.7829676806822508,7.426774556976349,6.650328726883105,15.887023083966659
200,0.1,4423,random,near_nn,0.00029397463245477986,3770,1.3510507800027611e-14,fine,2.948469047786072,8.236415915585578,0.8050496923250136,3.2498954134438174,2.9672932918253734,10.528481790049913
200,0.1,4423,random,stack_nn,0.00029397463245477986,3770,1.3510507800027611e-14,fine,2.9562452154268746,8.23958934984742,0.8325590855689513,3.180200555791764,2.9700669870674594,11.12102599730308
200,0.1,4423,random,near_ex,0.00029397463245477986,3770,1.3510507800027611e-14,fine,2.353486420032383,6.744994306719556,0.3221359232238702,1.7528127774806401,2.322043108530846,7.794484225678152
200,0.1,4423,random,diag_ex,0.00029397463245477986,3770,1.3510507800027611e-14,fine,2.310414298403246,6.612963717573574,0.33980587041917787,1.5909502737269061,2.273920488182502,8.387386476961371
200,0.1,4423,random,far_ex,0.00029397463245477986,3770,1.3510507800027611e-14,fine,0.0010342793949326586,0.0029871034986487088,3.8750699959700715e-05,0.003779597084344878,0.0013628748070747697,0.005544763671339499
200,0.1,4423,random,rpy+ref1,0.00029397463245477986,3770,1.3510507800027611e-14,fine,1.7534536958060767,5.051389828150166,0.14790550548411982,3.487371891692033,1.9016372607503156,10.131501670262454
200,0.1,4423,random,rpy+ref2,0.00029397463245477986,3770,1.3510507800027611e-14,fine,1.9218558533085357,5.480856831355606,0.3312255710868788,3.554022200297565,2.0557812511960214,10.720291221793342
200,0.1,4423,random,rpy+full,0.00029397463245477986,3770,1.3510507800027611e-14,fine,1.657971420636715,4.748921565023771,0.2346517743123098,3.3571041340698895,1.8046509694156478,9.506876164720694
200,0.1,4423,random,sd_minf,0.00029397463245477986,3770,1.3510507800027611e-14,fine,1.657971420636788,4.748921565023923,0.23465177431247147,3.3571041340700045,1.8046509694157233,9.50687616472534
